"purchase_date","salesbyday"
2016-10-03,559.53
2016-10-04,11229.52
2016-10-05,7859.06
2016-10-06,6984.21
2016-10-07,6832.76
2016-10-08,8986.35
2016-10-09,3553.26
2016-10-10,3896.73
2016-12-23,19.62
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,1447.99
2017-01-08,507.85
2017-01-09,774.51
2017-01-10,1571.17
2017-01-11,2098.78
2017-01-12,2107.85
2017-01-13,2712.86
2017-01-14,1161.08
2017-01-15,3398.34
2017-01-16,3766.18
2017-01-17,4057.57
2017-01-18,3811.68
2017-01-19,5101.08
2017-01-20,5407.1
2017-01-21,3474.35
2017-01-22,4141.87
2017-01-23,7368.52
2017-01-24,6864.78
2017-01-25,8632.05
2017-01-26,15793.75
2017-01-27,13019.28
2017-01-28,5736.98
2017-01-29,6751.56
2017-01-30,11837.78
2017-01-31,12117.85
2017-02-01,8986.96
2017-02-02,10342.54
2017-02-03,11203.89
2017-02-04,15449.26
2017-02-05,11510.27
2017-02-06,11227.87
2017-02-07,16930.42
2017-02-08,13517.96
2017-02-09,10804.13
2017-02-10,15587.65
2017-02-11,5642.84
2017-02-12,16389.82
2017-02-13,13324.23
2017-02-14,12967.18
2017-02-15,7969.3
2017-02-16,7198.94
2017-02-17,11046.23
2017-02-18,9244.12
2017-02-19,4549.72
2017-02-20,8772.26
2017-02-21,9152.5
2017-02-22,7924
2017-02-23,8264.89
2017-02-24,7887.12
2017-02-25,4886.87
2017-02-26,6101.02
2017-02-27,6727.34
2017-02-28,11999.21
2017-03-01,16560.97
2017-03-02,12722.91
2017-03-03,14113.35
2017-03-04,10899.73
2017-03-05,8399.08
2017-03-06,11190.59
2017-03-07,13427.68
2017-03-08,16181.89
2017-03-09,14058.85
2017-03-10,14342.72
2017-03-11,13372.94
2017-03-12,7777.25
2017-03-13,18726.87
2017-03-14,16879.46
2017-03-15,17015.93
2017-03-16,19361.69
2017-03-17,14805.79
2017-03-18,17593.33
2017-03-19,7728.08
2017-03-20,19918.02
2017-03-21,13292.84
2017-03-22,16611.14
2017-03-23,19730.56
2017-03-24,12331.16
2017-03-25,12340.01
2017-03-26,7576.65
2017-03-27,19374.66
2017-03-28,14821.66
2017-03-29,9938.55
